pokemon_id,archetype_key,name_en,name_es,description_en,description_es,fit_score,season_key,format,notes
10008,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10009,hyper_offense,Hyper Offense,Hiperofensiva,High-pressure offensive structures.,Estructuras ofensivas de alta presin.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
10010,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10011,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10012,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10100,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10104,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
1013,sand,Sand,Arena,Structures built around sand.,Estructuras basadas en arena.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
1013,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
10165,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
10172,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
1018,rain,Rain,Lluvia,Structures built around rain.,Estructuras basadas en lluvia.,82,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
10180,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
1019,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10230,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10233,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10236,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10239,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10242,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10244,tailwind,Tailwind,Viento Afn,Structures built around Tailwind speed control.,Estructuras basadas en Viento Afn.,75,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
10245,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10250,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10251,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10252,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10678,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,70,season_m1_reg_ma,doubles,Derived from current roster heuristics.
10902,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
115,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
121,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
127,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
128,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
130,rain,Rain,Lluvia,Structures built around rain.,Estructuras basadas en lluvia.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
132,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
134,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
135,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
136,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
142,tailwind,Tailwind,Viento Afn,Structures built around Tailwind speed control.,Estructuras basadas en Viento Afn.,82,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
143,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
149,hyper_offense,Hyper Offense,Hiperofensiva,High-pressure offensive structures.,Estructuras ofensivas de alta presin.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
149,sand,Sand,Arena,Structures built around sand.,Estructuras basadas en arena.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
149,tailwind,Tailwind,Viento Afn,Structures built around Tailwind speed control.,Estructuras basadas en Viento Afn.,82,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
15,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
154,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
157,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
160,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
168,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
18,tailwind,Tailwind,Viento Afn,Structures built around Tailwind speed control.,Estructuras basadas en Viento Afn.,82,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
181,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
184,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
186,rain,Rain,Lluvia,Structures built around rain.,Estructuras basadas en lluvia.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
196,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,70,season_m1_reg_ma,doubles,Derived from current roster heuristics.
197,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
199,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
205,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
208,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
212,tailwind,Tailwind,Viento Afn,Structures built around Tailwind speed control.,Estructuras basadas en Viento Afn.,82,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
214,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
227,tailwind,Tailwind,Viento Afn,Structures built around Tailwind speed control.,Estructuras basadas en Viento Afn.,82,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
229,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
24,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
248,sand,Sand,Arena,Structures built around sand.,Estructuras basadas en arena.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
25,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
26,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
279,rain,Rain,Lluvia,Structures built around rain.,Estructuras basadas en lluvia.,85,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
279,tailwind,Tailwind,Viento Afn,Structures built around Tailwind speed control.,Estructuras basadas en Viento Afn.,82,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
282,sand,Sand,Arena,Structures built around sand.,Estructuras basadas en arena.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
282,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
3,sun,Sun,Sol,Structures built around sun.,Estructuras basadas en sol.,85,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
302,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
306,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
308,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,70,season_m1_reg_ma,doubles,Derived from current roster heuristics.
310,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
319,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
323,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
324,sun,Sun,Sol,Structures built around sun.,Estructuras basadas en sol.,85,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
324,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
334,tailwind,Tailwind,Viento Afn,Structures built around Tailwind speed control.,Estructuras basadas en Viento Afn.,82,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
350,sand,Sand,Arena,Structures built around sand.,Estructuras basadas en arena.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
351,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
354,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,70,season_m1_reg_ma,doubles,Derived from current roster heuristics.
358,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
359,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
36,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
362,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
38,sun,Sun,Sol,Structures built around sun.,Estructuras basadas en sol.,85,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
389,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
392,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
395,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
405,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
407,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
409,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
411,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
428,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
442,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
445,sand,Sand,Arena,Structures built around sand.,Estructuras basadas en arena.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
448,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
450,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
454,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
460,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
461,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
464,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
470,sun,Sun,Sol,Structures built around sun.,Estructuras basadas en sol.,85,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
471,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
472,tailwind,Tailwind,Viento Afn,Structures built around Tailwind speed control.,Estructuras basadas en Viento Afn.,82,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
473,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
475,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,70,season_m1_reg_ma,doubles,Derived from current roster heuristics.
478,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
479,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
497,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
500,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
503,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
505,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
510,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
512,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
