pokemon_id,archetype_key,name_en,name_es,description_en,description_es,fit_score,season_key,format,notes
514,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
516,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
530,hyper_offense,Hyper Offense,Hiperofensiva,High-pressure offensive structures.,Estructuras ofensivas de alta presin.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
530,sand,Sand,Arena,Structures built around sand.,Estructuras basadas en arena.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
531,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
534,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
547,rain,Rain,Lluvia,Structures built around rain.,Estructuras basadas en lluvia.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
547,sun,Sun,Sol,Structures built around sun.,Estructuras basadas en sol.,85,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
547,tailwind,Tailwind,Viento Afn,Structures built around Tailwind speed control.,Estructuras basadas en Viento Afn.,82,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
547,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,70,season_m1_reg_ma,doubles,Derived from current roster heuristics.
553,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
563,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
569,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
571,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
579,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
584,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
587,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
59,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
6,sun,Sun,Sol,Structures built around sun.,Estructuras basadas en sol.,82,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
609,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
614,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
618,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
623,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
635,tailwind,Tailwind,Viento Afn,Structures built around Tailwind speed control.,Estructuras basadas en Viento Afn.,82,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
637,tailwind,Tailwind,Viento Afn,Structures built around Tailwind speed control.,Estructuras basadas en Viento Afn.,75,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
65,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,70,season_m1_reg_ma,doubles,Derived from current roster heuristics.
652,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
655,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
658,sand,Sand,Arena,Structures built around sand.,Estructuras basadas en arena.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
660,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
663,tailwind,Tailwind,Viento Afn,Structures built around Tailwind speed control.,Estructuras basadas en Viento Afn.,82,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
666,tailwind,Tailwind,Viento Afn,Structures built around Tailwind speed control.,Estructuras basadas en Viento Afn.,82,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
670,hyper_offense,Hyper Offense,Hiperofensiva,High-pressure offensive structures.,Estructuras ofensivas de alta presin.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
670,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
671,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
675,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
676,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
678,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,70,season_m1_reg_ma,doubles,Derived from current roster heuristics.
68,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
681,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
683,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
685,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
693,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
695,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
697,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
699,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
700,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
701,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
702,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
706,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
707,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,70,season_m1_reg_ma,doubles,Derived from current roster heuristics.
709,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,70,season_m1_reg_ma,doubles,Derived from current roster heuristics.
71,sun,Sun,Sol,Structures built around sun.,Estructuras basadas en sol.,85,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
711,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
713,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
715,tailwind,Tailwind,Viento Afn,Structures built around Tailwind speed control.,Estructuras basadas en Viento Afn.,82,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
724,tailwind,Tailwind,Viento Afn,Structures built around Tailwind speed control.,Estructuras basadas en Viento Afn.,75,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
727,hyper_offense,Hyper Offense,Hiperofensiva,High-pressure offensive structures.,Estructuras ofensivas de alta presin.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
727,rain,Rain,Lluvia,Structures built around rain.,Estructuras basadas en lluvia.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
727,sand,Sand,Arena,Structures built around sand.,Estructuras basadas en arena.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
727,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
730,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
733,tailwind,Tailwind,Viento Afn,Structures built around Tailwind speed control.,Estructuras basadas en Viento Afn.,82,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
740,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
745,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
748,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
750,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
752,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
758,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
763,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
765,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
766,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
778,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
780,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
784,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
80,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
823,sand,Sand,Arena,Structures built around sand.,Estructuras basadas en arena.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
823,tailwind,Tailwind,Viento Afn,Structures built around Tailwind speed control.,Estructuras basadas en Viento Afn.,82,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
841,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
842,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
844,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
855,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,70,season_m1_reg_ma,doubles,Derived from current roster heuristics.
858,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
866,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
867,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
869,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
877,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
887,rain,Rain,Lluvia,Structures built around rain.,Estructuras basadas en lluvia.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
899,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,70,season_m1_reg_ma,doubles,Derived from current roster heuristics.
9,rain,Rain,Lluvia,Structures built around rain.,Estructuras basadas en lluvia.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
900,tailwind,Tailwind,Viento Afn,Structures built around Tailwind speed control.,Estructuras basadas en Viento Afn.,75,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
902,rain,Rain,Lluvia,Structures built around rain.,Estructuras basadas en lluvia.,82,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
903,hyper_offense,Hyper Offense,Hiperofensiva,High-pressure offensive structures.,Estructuras ofensivas de alta presin.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
908,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,70,season_m1_reg_ma,doubles,Derived from current roster heuristics.
911,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
914,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
925,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
934,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
936,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
937,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
939,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,55,season_m1_reg_ma,doubles,Derived from current roster heuristics.
94,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
952,sun,Sun,Sol,Structures built around sun.,Estructuras basadas en sol.,85,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
956,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
959,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
964,offense,Offense,Ofensiva,Proactive offensive structures.,Estructuras ofensivas proactivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
968,balance,Balance,Balance,Flexible structures with both defensive and offensive pieces.,Estructuras flexibles con piezas ofensivas y defensivas.,50,season_m1_reg_ma,doubles,Derived from current roster heuristics.
970,sand,Sand,Arena,Structures built around sand.,Estructuras basadas en arena.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
981,sun,Sun,Sol,Structures built around sun.,Estructuras basadas en sol.,82,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
981,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,78,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
983,trick_room,Trick Room,Espacio Raro,Structures built around reverse speed control.,Estructuras basadas en control inverso de velocidad.,90,season_m1_reg_ma,doubles,Derived from Champions Lab curated teams/core pairs and current roster heuristics.
